"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGAP006624.1",0.00393097210566336,-2.98451945032918,0,0.187,1,"C_5","AGAP006624"
"AGAP011619.2",0.00393097210566336,-3.02493247268184,0,0.187,1,"C_5","AGAP011619"
"AGAP002257.2",0.00393097210566336,-3.04744010987584,0,0.187,1,"C_5","AGAP002257"
"AGAP002997.1",0.00393097210566336,-3.05588463214224,0,0.187,1,"C_5","AGAP002997"
"AGAP008700.1",0.00393097210566336,-3.06697460288148,0,0.187,1,"C_5","AGAP008700"
"AGAP001939.2",0.00393097210566336,-3.08281839476306,0,0.187,1,"C_5","AGAP001939"
"AGAP002821.1",0.00393097210566336,-3.09682692645692,0,0.187,1,"C_5","AGAP002821"
"AGAP006916.1",0.00393097210566336,-3.1315272047823,0,0.187,1,"C_5","AGAP006916"
"AGAP012434.2",0.00393097210566336,-3.14696708872105,0,0.187,1,"C_5","AGAP012434"
"AGAP012136.2",0.00393097210566336,-3.17622462572033,0,0.187,1,"C_5","AGAP012136"
"AGAP001322.1",0.00393097210566336,-3.18350661185088,0,0.187,1,"C_5","AGAP001322"
"AGAP001376.1",0.00393097210566336,-3.19258701459647,0,0.187,1,"C_5","AGAP001376"
"AGAP000951.2",0.00393097210566336,-3.23696965769271,0,0.187,1,"C_5","AGAP000951"
"AGAP007570.3",0.00393097210566336,-3.24845838780635,0,0.187,1,"C_5","AGAP007570"
"AGAP005007.1",0.00393097210566336,-3.24890456391292,0,0.187,1,"C_5","AGAP005007"
"AGAP007912.1",0.00393097210566336,-3.25533802684661,0,0.187,1,"C_5","AGAP007912"
"AGAP008016.1",0.00393097210566336,-3.25776552984468,0,0.187,1,"C_5","AGAP008016"
"AGAP013394.1",0.00393097210566336,-3.2653475528275,0,0.187,1,"C_5","AGAP013394"
"AGAP010899",0.00393097210566336,-3.28896190055902,0,0.187,1,"C_5","AGAP010899"
"AGAP011338.1",0.00393097210566336,-3.29354318124888,0,0.187,1,"C_5","AGAP011338"
"AGAP008049.1",0.00393097210566336,-3.29599923443214,0,0.187,1,"C_5","AGAP008049"
"AGAP006701.2",0.00393097210566336,-3.30674900215326,0,0.187,1,"C_5","AGAP006701"
"AGAP010360.2",0.00393097210566336,-3.32239479660685,0,0.187,1,"C_5","AGAP010360"
"AGAP002513",0.00393097210566336,-3.37266209064157,0,0.187,1,"C_5","AGAP002513"
"AGAP001746.2",0.00393097210566336,-3.4008281824344,0,0.187,1,"C_5","AGAP001746"
"AGAP010389",0.00393097210566336,-3.41783331440571,0,0.187,1,"C_5","AGAP010389"
"AGAP012402",0.00393097210566336,-3.42219786267934,0,0.187,1,"C_5","AGAP012402"
"AGAP007246.1",0.00393097210566336,-3.46936964846593,0,0.187,1,"C_5","AGAP007246"
"AGAP005520",0.00393097210566336,-3.47351043925113,0,0.187,1,"C_5","AGAP005520"
"AGAP006367.1",0.00394098339513436,0.431674984961977,0.079,0.346,1,"C_5","AGAP006367"
"AGAP008801.1",0.00394724465086229,-2.06836458504957,0.026,0.238,1,"C_5","AGAP008801"
"AGAP028011.1",0.00399024175207617,-1.93653492677925,0.026,0.238,1,"C_5","AGAP028011"
"AGAP028579.1",0.00399564917099418,-2.54330280002675,0.026,0.234,1,"C_5","AGAP028579"
"AGAP007104",0.004025939703853,-1.48600164596605,0.053,0.285,1,"C_5","AGAP007104"
"AGAP010770.1",0.00403366367895453,-1.94626872433131,0.026,0.238,1,"C_5","AGAP010770"
"AGAP008314",0.00404217865212763,-0.470027583728035,0.079,0.327,1,"C_5","AGAP008314"
"AGAP010870.1",0.00405237438735976,0.514567274879038,0.211,0.57,1,"C_5","AGAP010870"
"AGAP010404",0.00407751411748913,-1.87491472032436,0.026,0.238,1,"C_5","AGAP010404"
"AGAP010273.2",0.00407751411748913,-2.11171236902154,0.026,0.238,1,"C_5","AGAP010273"
"AGAP003623.1",0.00411929086151791,-1.01919008599085,0.105,0.374,1,"C_5","AGAP003623"
